OBJECTID,UNIT_ID,LMS_ID,PARK_NAME,PARK_LBL,ACCESS_TYP,RPT_ACRES,GIS_ACRES,AGNCY_NAME,AGNCY_LEV,AGNCY_TYP,AGNCY_WEB,MNG_AGENCY,COGP_TYP,NDS_AN_TYP,NEEDS_ANLZ,TKIT_SUM,AMEN_RPT,PRKINF_CND,AM_OPNSP,AM_TRLS,TRLS_MI,TENIS,BSKTB,BASEB,SOCCR,MPFLD,FITZN,SK8PK,PCNIC,PLGND,POOLS,SPPAD,DGPRK,GYM,COMCT,SNRCT,RSTRM,TOTAL_GOOD,TOTAL_FAIR,TOTAL_POOR,TYPE,CENTER_LAT,CENTER_LON,ADDRESS,CITY,ZIP,HOURS,PHONES,IS_COUNTY,Shape__Area,Shape__Length
964,6882,,Lake Hollywood MRCA Open Space,Lake Hollywood MRCA OS,Open Access,0.325,0.32501359,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.11540245,-118.33216292,,Los Angeles,90068,,,No,14157.5361328125,565.944334263917
965,6883,,Trebek Open Space,Trebek OS,Open Access,81.514,81.51219649,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Community Regional Park,Park 5 to 100 Acres,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.11074142,-118.35807754,Los Angeles,Los Angeles,90046,,,No,3550657.07519531,21555.6833951042
966,6884,,Briar Summit Open Space Preserve,Briar Summit OSP,Open Access,52.687,52.68554095,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Community Regional Park,Park 5 to 100 Acres,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.12455649,-118.36679357,Los Angeles,Los Angeles,90046,,,No,2294972.98339844,9203.86140750091
967,6885,,Unnamed site - Mountains Recreation and Conservation Authority, ,Open Access,0.045,0.04547941,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.107501,-118.37223024,570 W Ave 26 #100,Los Angeles,90046,,,No,1981.076171875,212.087065355009
968,6888,,Unnamed site - Santa Monica Mountains Conservancy, ,Open Access,4.287,4.28724232,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.12081994,-118.37750636,,Los Angeles,90046,,,No,186751.53125,2123.32000088297
969,6889,,Unnamed site - Mountains Recreation and Conservation Authority, ,Open Access,0.674,0.67416271,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.11724971,-118.37499653,570 W Ave 26 #100,Los Angeles,90046,,,No,29366.412109375,1177.11565646961
970,6890,,Unnamed site - Mountains Recreation and Conservation Authority, ,Unknown Access,0.191,0.19077052,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.12044233,-118.37097712,570 W Ave 26 #100,Los Angeles,90046,,,No,8309.9296875,365.326115112739
971,6891,,Cahuenga Pass-Oakshire Open Space,Cahuenga Pass-Oakshire OS,Open Access,16.948,16.94762819,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Community Park,Park 5 to 100 Acres,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.12675733,-118.35619106,,Los Angeles,90068,,,No,738235.731445313,5305.77536103456
972,6892,,Unnamed site - Mountains Recreation and Conservation Authority, ,Unknown Access,0.675,0.67500798,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.1336349,-118.36719521,570 W Ave 26 #100,Los Angeles,90068,,,No,29403.2265625,840.546684540491
973,6893,,Castilian MRCA Open Space,Castilian MRCA OS,Open Access,0.273,0.2734545,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.11000263,-118.34379773,,Los Angeles,90068,,,No,11911.62890625,479.526643783709
974,6894,,Unnamed site - Mountains Recreation and Conservation Authority, ,Open Access,20.893,20.89236787,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Community Regional Park,Park 5 to 100 Acres,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.11609688,-118.3398498,570 W Ave 26 #100,Los Angeles,90068,,,No,910067.901367188,7015.29224029497
975,6895,,Cahuenga Pass MRCA Open Space,Cahuenga Pass MRCA OS,Open Access,0.064,0.0636604,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.12017239,-118.34456045,,Los Angeles,90068,,,No,2773.0361328125,241.927333767211
976,6896,,Unnamed site - Mountains Recreation and Conservation Authority, ,Open Access,1.114,1.11376731,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Pocket Park,Park < 5 Acres,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.11593363,-118.35551046,570 W Ave 26 #100,Los Angeles,90046,,,No,48515.5107421875,1177.21181622996
977,6897,,Unnamed site - Mountains Recreation and Conservation Authority, ,Open Access,10.321,10.32094539,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.10216735,-118.38556385,,West Hollywood,90069,,,No,449578.5859375,3966.81385332602
978,6900,,Unnamed site - Mountains Recreation and Conservation Authority, ,Open Access,0.457,0.45733083,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.1232396,-118.34089202,570 W Ave 26 #100,Los Angeles,90068,,,No,19921.248046875,725.968878690577
979,6901,,Mulholland Adjacent Open Space,Mulholland Adjacent OS,Open Access,0.277,0.27683032,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.12713782,-118.36085734,Los Angeles,Los Angeles,90046,,,No,12058.677734375,706.082070199505
980,6902,,Elrita Bowl Adjacent Open Space,Elrita Bowl Adjacent OS,Open Access,0.26,0.26007848,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.1177109,-118.37297253,,Los Angeles,90046,,,No,11328.97265625,442.40517239154
981,6903,,Unnamed site - Mountains Recreation and Conservation Authority, ,Open Access,0.176,0.17575862,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.11695737,-118.37420285,570 W Ave 26 #100,Los Angeles,90046,,,No,7656.013671875,347.932279218143
982,6904,,Cahuenga Pass - Reeds/Farris Open Space,Cahuenga Pass - Reeds/Farris OS,Open Access,0.481,0.4809228,Santa Monica Mountains Conservancy,State,State Agency,http://www.smmc.ca.gov,Santa Monica Mountains Conservancy,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.1220998,-118.34132419,,Los Angeles,90068,,,No,20948.91015625,967.175804455164
983,6905,23060,Laurel Canyon Park,Laurel Canyon Park,Open Access,23.442,23.44124701,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Community Regional Park,Park 5 to 100 Acres,Yes,Yes,Yes,Poor,None,None,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,1,Local Park,34.12105098,-118.37968007,8260  Mulholland Dr,Los Angeles,90046,,(818) 766-8445,No,1021096.64355469,4326.54916901502
984,6908,,Lake Hollywood Reservoir,Lake Hollywood Reservoir,No Public Access,223.423,223.41632454,"Los Angeles - Department of Water and Power, City of",City,City Agency,http://www.ladwp.com/,"Los Angeles - Department of Water and Power, City of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.12134752,-118.33155066,Hollywood Reservoir,Los Angeles,90068,,,No,9731976.18457031,20078.548936679
985,6909,23158,Runyon Canyon Park,Runyon Canyon Park,Open Access,133.105,133.10080565,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Regional Park,Regional Openspace,Yes,Yes,Yes,Poor,Present - Poor,Present - Poor,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Local Park,34.1119436,-118.35093257,2000  Fuller Ave,Los Angeles,90046,,(323) 666-5046,No,5797847.91113281,20808.6665611166
986,6912,22934,Wattles Garden Park,Wattles Garden Park,Open Access,47.576,47.57427104,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Community Regional Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,Present - Poor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local Park,34.10782543,-118.35405664,1850 N Curson Ave,Los Angeles,90046,,(323) 969-9106,No,2072326.95507813,8961.42076247375
987,6913,,Griffith Park (City of Los Angeles),Griffith Park,Open Access,4066.034,4065.88345191,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Regional Park,Regional Park,Yes,Yes,Yes,Fair,Present - Fair,Present - Fair,0,28,0,1,8,0,1,0,1,11,3,0,1,1,0,1,21,23,33,21,Regional Recreation Park,34.13547266,-118.29855397,Griffith Park Dr,Los Angeles,90027,,(323) 913-4688,No,177109174.754883,199801.123665525
988,6914,23009,Johnny Carson Park (City of Burbank),Johnny Carson Park,Open Access,12.783,12.78219944,"Burbank, City of",City,City Agency,http://burbankca.gov/departments/park-recreation-and-community-services/parks-facilities,"Burbank, City of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.15392377,-118.32931646,400 Bob Hope Dr,Burbank,91505,,,No,556790.383789063,6616.68261565079
989,6915,,Johnny Carson Park (City of Los Angeles),Johnny Carson Park,Open Access,2.41,2.4094465,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Pocket Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Good,Present - Good,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,3,1,0,Local Park,34.154457,-118.3299515,400 Bob Hope Dr   ,Burbank,91505,,(818) 238-5300,No,104955.0703125,1761.28558573184
990,6916,23213,North Atwater Park,N. Atwater Park,Open Access,5.367,5.36641612,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Not Reported,Not Reported,Not Reported,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,3,2,Local Park,34.13223474,-118.27228762,3900  Chevy Chase Dr,Los Angeles,90039,,(323) 664-6611,No,233760.151367188,2188.90304630971
991,6917,25330,Arroyo Seco,Arroyo Seco,Open Access,4.886,4.88572053,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.09563521,-118.20341782,Arroyo Seco Pkwy,Los Angeles,90031,,,No,212821.135742188,6630.43788283393
992,6918,22864,Glenhurst Park,Glenhurst Park,Open Access,0.294,0.29405669,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Pocket Park,Park < 5 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Local Park,34.11022183,-118.25277367,2932  Glenhurst Ave,Los Angeles,90039,,(213) 847-0926,No,12809.05859375,468.915675835937
993,6919,,Elysian Valley Gateway Park,Elysian Valley Gateway Park,Open Access,0.319,0.31911918,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Pocket Park,Park < 5 Acres,Yes,Yes,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local Park,34.10296839,-118.24306284,Los Angeles River Greenway Trail,Los Angeles,90039,,,No,13900.77734375,669.309535138019
994,6920,71593,Rio de Los Angeles SP,Rio de Los Angeles SP,Open Access,54.773,54.77201013,California Department of Parks and Recreation,State,State Agency,http://www.parks.ca.gov/,California Department of Parks and Recreation,Community Regional Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,Present - Good,0,2,4,2,3,1,0,0,1,1,0,1,0,0,0,0,1,4,10,2,Local Park,34.10083762,-118.23816947,1900 N San Fernando Rd,Los Angeles,90065,,,No,2385859.21484375,13289.0300074989
995,6921,,Steelhead Park,Steelhead Park,No Public Access,0.219,0.21905975,Santa Monica Mountains Conservancy,State,State Agency,http://www.smmc.ca.gov,Mountains Recreation and Conservation Authority,Park Node,Park < 5 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local Park,34.08680192,-118.22891972,Los Angeles,Los Angeles,90031,,,No,9542.2041015625,552.945526078436
996,6923,,Los Angeles River Center and Gardens,Los Angeles River Ctr. and Gardens,Open Access,6.69,6.68997551,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.08504448,-118.22484205,570 W Ave 26 #100,Los Angeles,90065,,,No,291414.170898438,2609.51874186849
997,6924,,Confluence Park,Confluence Park,No Public Access,0.401,0.40110019,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.08191922,-118.22563161,Los Angeles,Los Angeles,90065,,,No,17471.8564453125,613.38184726902
998,6925,,Egret Park,Egret Park,No Public Access,0.055,0.05513822,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Park Node,Park < 5 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local Park,34.08419639,-118.22840291,Los Angeles,Los Angeles,90031,,,No,2401.8125,329.161880504114
999,6926,,Oso Park,Oso Park,Open Access,0.21,0.21036706,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Park Node,Park < 5 Acres,Yes,Yes,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local Park,34.08547196,-118.22951541,Los Angeles,Los Angeles,90031,,,No,9163.552734375,580.486640019607
1000,6927,2606,Downey Playground and Rec. Center,Downey Playground and Rec. Ctr.,Open Access,4.514,4.5134494,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park < 5 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,4,1,Local Park,34.07068537,-118.22298815,1772  Spring St,Los Angeles,90031,,(323) 225-7100,No,196605.063476563,2905.84985577871
1001,6928,,Arroyo Seco Park (City of South Pasadena),Arroyo Seco Park,Open Access,25.771,25.7700279,"South Pasadena, City of",City,City Agency,http://www.ci.south-pasadena.ca.us/,"South Pasadena, City of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.12043347,-118.16655256,Stoney Dr,South Pasadena,91030,,,No,1122537.92089844,6261.06517072373
1002,6929,23502,Arroyo Seco Park (City of Los Angeles),Arroyo Seco Park,Open Access,63.188,63.18612328,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Community Regional Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,Present - Fair,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,2,1,5,1,Local Park,34.11253266,-118.17863406,5566 Via Marisol,Los Angeles,90042,,(213) 485-4833,No,2752376.52246094,30046.4260901151
1003,6930,24500,Arroyo Seco Golf Course,Arroyo Seco GC,Restricted Access,31.156,31.15545075,"South Pasadena, City of",City,City Agency,http://www.ci.south-pasadena.ca.us/,"South Pasadena, City of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.1147588,-118.17010542,1055 Lohman Ln,South Pasadena,91030,,,No,1357126.00585938,6635.65771429006
1004,6931,23543,Ernest E Debs RP,Ernest E Debs RP,Open Access,318.565,318.55788077,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Regional Park,Regional Park,Yes,Yes,Yes,Fair,Present - Fair,Present - Fair,0,0,0,1,0,2,0,0,2,1,0,0,0,0,1,1,4,2,7,3,Regional Recreation Park,34.09619735,-118.19464222,4235 Monterey Rd   ,Los Angeles,90032,,(213) 485-5054,No,13876325.796875,31940.1577426137
1005,6932,23446,Rose Hill Park,Rose Hill Park,Open Access,20.51,20.50985373,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Community Regional Park,Park 5 to 100 Acres,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.08632973,-118.19584497,3606 Boundary Ave,Los Angeles,90032,,,No,893405.653320313,6106.95207126602
1006,6935,23559,Sycamore Grove Park,Sycamore Grove Park,Open Access,15.047,15.04649543,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Community Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,2,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,2,1,4,Local Park,34.10024886,-118.20291176,4702  Figueroa St,Los Angeles,90042,,(323) 255-0370,No,655422.721679688,4621.74799774081
1007,6937,23464,Heritage Square,Heritage Square,Open Access,8.426,8.42588539,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.08723143,-118.20989695,3545 Pasadena Ave,Los Angeles,90031,,,No,367030.098632813,4723.76633933838
1008,6938,22724,Arcadia Wilderness Park,Arcadia Wilderness Park,Open Access,105.81,105.80489227,"Arcadia, City of",City,City Agency,http://www.ci.arcadia.ca.us/home/index.asp?page=1160,"Arcadia, City of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.17568849,-118.01559262,2240 N. Highland Oaks Drive,Monrovia,91016,<Null>,,No,4608842.67089844,8860.34129366032
1009,6939,25367,San Gabriel River,San Gabriel River,Open Access,8.602,8.60147453,San Gabriel River Water Committee,Special District,Water District, ,San Gabriel River Water Committee,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.16116363,-117.90012607,San Gabriel River Trail,Azusa,91702,,,No,374678.740234375,13540.8636270502
1010,6940,,Cherry Canyon Park,Cherry Canyon Park,Open Access,136.79,136.78198899,"La Canada Flintridge, City of",City,City Agency,http://www.lcf.ca.gov/parks-rec,"La Canada Flintridge, City of",Regional Park,Regional Openspace,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.19319716,-118.20735797,Cherry Canyon Motorway,La Canada Flintridge,91011,,,No,5958199.60058594,18742.0766347171
1011,6942,,Gould Canyon / Lukens Connection,Gould Canyon / Lukens Connection,Open Access,64.183,64.178617,"La Canada Flintridge, City of",City,City Agency,http://www.lcf.ca.gov/parks-rec,"La Canada Flintridge, City of",Community Regional Park,Park 5 to 100 Acres,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.22703402,-118.19804149,5009-,La Canada Flintridge,91011,,,No,2795609.37304688,7420.39375001108
1012,6943,,Winery Canyon Open Space,Winery Canyon OS,Open Access,342.698,342.39190354,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.23691837,-118.2104699,,La Canada Flintridge,91011,,,No,14914531.6650391,24820.1148062815
1013,6944,22696,Montrose Community Park,Montrose Community Park,Open Access,14.5,15.07646071,"Glendale, City of",City,City Agency,http://www.glendaleca.gov/government/city-departments/community-services-parks,"Glendale, City of",Community Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Fair,None,0,2,1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,6,2,0,Local Park,34.20127399,-118.22551665,3529 Clifton Pl,Glendale,91208,,,No,656728.001953125,3609.71547342494
1014,6947,22792,Glorietta Park,Glorietta Park,Open Access,8,8.60407807,"Glendale, City of",City,City Agency,http://www.glendaleca.gov/government/city-departments/community-services-parks,"Glendale, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Fair,None,0,4,0,1,0,0,0,0,3,2,0,0,0,0,0,0,1,3,8,0,Local Park,34.1883586,-118.227101,2801 N Verdugo Rd,Glendale,91208,,,No,374792.143554688,2974.72663514334
1015,6948,,San Rafael Mountains Open Space,San Rafael Mtns. OS,Open Access,748.812,748.77260595,"Glendale, City of",City,City Agency,http://www.glendaleca.gov/government/city-departments/community-services-parks,"Glendale, City of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.17733858,-118.21228511,,Glendale,91206,,,No,32616404.2402344,158809.189344202
1016,6949,,Polygon Open Space,Polygon OS,Open Access,28.5,28.49853241,"Glendale, City of",City,City Agency,http://www.glendaleca.gov/government/city-departments/community-services-parks,"Glendale, City of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.16174709,-118.22826291,Oakmount View Dr,Glendale,91206,,,No,1241391.10351563,5231.86408456924
1017,6950,,Emerald Isle park,Emerald Isle Park,Open Access,6.19,6.18953936,"Glendale, City of",City,City Agency,http://www.glendaleca.gov/government/city-departments/community-services-parks,"Glendale, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Fair,None,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,1,Local Park,34.18041429,-118.20118398,2130 Lenore Dr,Glendale,91206,,,No,269615.25,2524.39524619015
1018,6951,22732,Mayor's Bicentennial Park,Mayor's Bicentennial Park,Open Access,3.2,3.91077966,"Glendale, City of",City,City Agency,http://www.glendaleca.gov/government/city-departments/community-services-parks,"Glendale, City of",Neighborhood Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Fair,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,Local Park,34.17447964,-118.22056976,1987 Loma Vista Dr,Glendale,91208,,,No,170352.876953125,1784.52599902921
1019,6952,,Poulsen Open Space,Poulsen OS,Open Access,42.193,42.19054452,"Glendale, City of",City,City Agency,http://www.glendaleca.gov/government/city-departments/community-services-parks,"Glendale, City of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.16434261,-118.19952756,Oakmount View Dr,Glendale,91206,,,No,1837812.76660156,5550.91511236047
